I Ate The World’s Largest Slice Of Pizza,"37,920,532 views","1,490,705 likes","32,018 dislikes",https://www.youtube.com/watch?v=Rj_vssRaZlQ
"Get This Random Person 1,000,000 Subscribers","19,389,591 views","1,189,544 likes","15,662 dislikes",https://www.youtube.com/watch?v=oD155zWANQg
Would YOU Rather Have A Lamborghini or This House?,"24,975,426 views","1,613,627 likes","16,401 dislikes",https://www.youtube.com/watch?v=s1ax8Tx_Jz0
"Would You Rather Have $100,000 OR This Mystery Key?","40,717,011 views","1,695,474 likes","30,384 dislikes",https://www.youtube.com/watch?v=_qAJMXfL6o0
"I Broke Into A House And Left $50,000","28,649,153 views","1,364,451 likes","18,065 dislikes",https://www.youtube.com/watch?v=OAbP-V6fEVc
"Last To Leave $800,000 Island Keeps It","36,140,219 views","2,226,208 likes","38,377 dislikes",https://www.youtube.com/watch?v=NkE0AMGzpJY
I Bought A Private Island,"32,698,963 views","1,871,047 likes","25,138 dislikes",https://www.youtube.com/watch?v=FbM1yi4mMMc
I Adopted EVERY Dog In A Dog Shelter,"35,325,004 views","1,956,685 likes","20,767 dislikes",https://www.youtube.com/watch?v=YQDDm9HLkV4
"I Bought The World's Largest Firework ($600,000)","46,882,625 views","2,355,518 likes","50,205 dislikes",https://www.youtube.com/watch?v=erQ_9yEz0ls
"I Spent $1,000,000 On Lottery Tickets and WON","27,032,505 views","1,467,445 likes","26,797 dislikes",https://www.youtube.com/watch?v=5V2B28OqfqM
I Built The World's Largest Lego Tower,"35,913,555 views","1,381,800 likes","29,591 dislikes",https://www.youtube.com/watch?v=59AYXzCa-Cs
I Spent 50 Hours In Solitary Confinement,"52,550,669 views","1,501,679 likes","39,233 dislikes",https://www.youtube.com/watch?v=r7zJ8srwwjk
"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)","19,495,620 views","996,388 likes","9,776 dislikes",https://www.youtube.com/watch?v=5Hg_QSIJm8I
"This is $1,000,000 in Food","18,904,428 views","1,142,204 likes","12,216 dislikes",https://www.youtube.com/watch?v=oBYbxw8f5OI
I Spent 24 Hours In A Doomsday Bunker,"45,490,272 views","1,220,211 likes","23,001 dislikes",https://www.youtube.com/watch?v=HBMmK1c44sE
"$70,000 Extreme Hide And Seek - Challenge","34,102,377 views","1,056,219 likes","15,561 dislikes",https://www.youtube.com/watch?v=_mdKvblL_8s
If You Click This Video I'll Give My Friend .001$,"34,608,758 views","2,392,215 likes","24,642 dislikes",https://www.youtube.com/watch?v=YSoJPA8-oHc
I Ran A Marathon In The World's Largest Shoes,"32,661,141 views","1,224,005 likes","19,426 dislikes",https://www.youtube.com/watch?v=AiGKBNGlzHo
Videos I Could Not Upload...,"31,283,947 views","1,408,085 likes","17,382 dislikes",https://www.youtube.com/watch?v=gsWPpE4Rid0
"$250,000 Influencer Rock, Paper, Scissors Tournament","34,769,792 views",,,https://www.youtube.com/watch?v=Ih2WTyY62J4
"How I Gained 15,000,000 Subscribers In 1 Year","14,408,047 views","770,861 likes","7,019 dislikes",https://www.youtube.com/watch?v=fY-LA3YaZ_M
Important Youtube Announcement (please watch),"26,575,897 views","2,094,894 likes","16,994 dislikes",https://www.youtube.com/watch?v=0hVZOJCYBBM
"I Ate A $70,000 Golden Pizza","57,342,349 views","1,657,899 likes","34,563 dislikes",https://www.youtube.com/watch?v=F4Y3Pkn95GI
I Gave My Credit Card To Random People,"52,995,868 views","1,794,802 likes","24,629 dislikes",https://www.youtube.com/watch?v=IYVjOfoU3uI
"Lamborghini Race, Winner Keeps Lamborghini","41,835,397 views","1,205,974 likes","24,879 dislikes",https://www.youtube.com/watch?v=KSKJKLmAqpI
I Went Back To Boy Scouts For A Day,"34,136,771 views","861,515 likes","18,673 dislikes",https://www.youtube.com/watch?v=oI6aXhowFDY
Anything You Can Fit In The Circle I’ll Pay For,"67,639,167 views","2,290,065 likes","30,464 dislikes",https://www.youtube.com/watch?v=yXWw0_UfSFg
I Am Santa Claus,"30,952,288 views","2,129,339 likes","15,418 dislikes",https://www.youtube.com/watch?v=Z9WQy9jEY8M
"$60,000 Extreme Hide And Seek - Challenge","36,268,471 views","1,103,985 likes","16,165 dislikes",https://www.youtube.com/watch?v=LdMx2U5tby0
"Surprising My Girlfriend With 100,000 Roses For Valentines Day","34,219,583 views","1,265,481 likes","30,639 dislikes",https://www.youtube.com/watch?v=i6OUv48w1bk
"Last To Take Hand Off $1,000,000 Keeps It","52,135,017 views","1,923,846 likes","31,616 dislikes",https://www.youtube.com/watch?v=yeqARWqjkps
"$50,000 Game Of Extreme Hide And Seek - Challenge","48,404,519 views","1,316,702 likes","22,322 dislikes",https://www.youtube.com/watch?v=X1jMMFOqxEw
